agency_id,route_color,route_desc,route_id,route_long_name,route_short_name,route_text_color,route_type,route_name_length,start_point,end_point,is_urban
BMTC,#FFFFFF,Not Available,BMT30-KHR,Depot 30 - Koyira Devana Halli Road,BR2761,0,3,35,Depot 30,Koyira Devana Halli Road,0
BMTC,#FFFFFF,Not Available,JFWTC-MEICL,JFWTC-ITPL - MEI Colony,BR3440,0,3,23,JFWTC-ITPL,MEI Colony,0
BMTC,#FFFFFF,Not Available,MRHB-BTP,Marathahalli Bridge - BAGMANE TECH PARK,BR3769,0,3,39,Marathahalli Bridge,BAGMANE TECH PARK,0
BMTC,#FFFFFF,Not Available,344A,Krishnarajendra Market - Haragadde,BR1803,0,3,34,Krishnarajendra Market,Haragadde,1
BMTC,#FFFFFF,Not Available,344B,Kempegowda Bus Station - Bettadasanapura,BR1804,0,3,40,Kempegowda Bus Station,Bettadasanapura,0
BMTC,#FFFFFF,Not Available,PHS3,Krishnarajendra Market - GPO,BR3853,0,3,28,Krishnarajendra Market,GPO,1
BMTC,#FFFFFF,Not Available,168D,Kempegowda Bus Station - Tavare Kere,BR140,0,3,36,Kempegowda Bus Station,Tavare Kere,0
BMTC,#FFFFFF,Not Available,345E,Krishnarajendra Market - Kyalasanahalli,BR1812,0,3,39,Krishnarajendra Market,Kyalasanahalli,1
BMTC,#FFFFFF,Not Available,168E,Jaibheemanagara - Kempegowda Bus Station,BR141,0,3,40,Jaibheemanagara,Kempegowda Bus Station,0
BMTC,#FFFFFF,Not Available,345C,Krishnarajendra Market - Nanjapura,BR1811,0,3,34,Krishnarajendra Market,Nanjapura,1
BMTC,#FFFFFF,Not Available,168A,Jaibheemanagara - Krishnarajendra Market,BR139,0,3,40,Jaibheemanagara,Krishnarajendra Market,1
BMTC,#FFFFFF,Not Available,CR-201MD,Koramangala TTMC - JP Nagar 6th Phase,BR2901,0,3,37,Koramangala TTMC,JP Nagar 6th Phase,0
BMTC,#FFFFFF,Not Available,345A,KR Market - Hulimangala,BR1810,0,3,23,KR Market,Hulimangala,1
BMTC,#FFFFFF,Not Available,346J,Krishnarajendra Market - Bangalore Central Jail,BR1825,0,3,47,Krishnarajendra Market,Bangalore Central Jail,1
BMTC,#FFFFFF,Not Available,346K,Krishnarajendra Market - Hulimangala,BR1826,0,3,36,Krishnarajendra Market,Hulimangala,1
BMTC,#FFFFFF,Not Available,346F,Krishnarajendra Market - Jigani,BR1822,0,3,31,Krishnarajendra Market,Jigani,1
BMTC,#FFFFFF,Not Available,346E,Krishnarajendra Market - DODDA THOGOOR,BR1821,0,3,38,Krishnarajendra Market,DODDA THOGOOR,1
BMTC,#FFFFFF,Not Available,346H,Kempegowda Bus Station - Parappana Agrahara,BR1824,0,3,43,Kempegowda Bus Station,Parappana Agrahara,0
BMTC,#FFFFFF,Not Available,346G,Krishnarajendra Market - Parappana Agrahara,BR1823,0,3,43,Krishnarajendra Market,Parappana Agrahara,1
BMTC,#FFFFFF,Not Available,346T,Krishnarajendra Market - Dodda Thugur Muneshwara Temple,BR1831,0,3,55,Krishnarajendra Market,Dodda Thugur Muneshwara Temple,1
BMTC,#FFFFFF,Not Available,346S,Krishnarajendra Market - Veerasandra,BR1830,0,3,36,Krishnarajendra Market,Veerasandra,1
BMTC,#FFFFFF,Not Available,346N,Kempegowda Bus Station - DODDA THOGOOR,BR1828,0,3,38,Kempegowda Bus Station,DODDA THOGOOR,0
BMTC,#FFFFFF,Not Available,346M,Krishnarajendra Market - Gollahalli,BR1827,0,3,35,Krishnarajendra Market,Gollahalli,1
BMTC,#FFFFFF,Not Available,KTGP-YSTF,Kottige Palya Magadi Road - Yelahanka Satelite Town 5th Phase,BR3663,0,3,61,Kottige Palya Magadi Road,Yelahanka Satelite Town 5th Phase,0
BMTC,#FFFFFF,Not Available,346P,Shivajinagar Bus Station - Shikaripalya,BR1829,0,3,39,Shivajinagar Bus Station,Shikaripalya,1
BMTC,#FFFFFF,Not Available,ANJ-BTP,Anjanapura - BAGMANE TECH PARK,BR2621,0,3,30,Anjanapura,BAGMANE TECH PARK,0
BMTC,#FFFFFF,Not Available,346A,Krishnarajendra Market - Shikaripalya,BR1814,0,3,37,Krishnarajendra Market,Shikaripalya,1
BMTC,#FFFFFF,Not Available,346B,Krishnarajendra Market - DODDANAGAMANGALA,BR1815,0,3,41,Krishnarajendra Market,DODDANAGAMANGALA,1
BMTC,#FFFFFF,Not Available,346C,Kempegowda Bus Station - Rayasandra,BR1816,0,3,35,Kempegowda Bus Station,Rayasandra,0
BMTC,#FFFFFF,Not Available,346D,Krishnarajendra Market - CHIKKANAGAMANGALA,BR1820,0,3,42,Krishnarajendra Market,CHIKKANAGAMANGALA,1
BMTC,#FFFFFF,Not Available,MTH-DSP,Mathahalli - Dasanapura,BR3781,0,3,23,Mathahalli,Dasanapura,0
BMTC,#FFFFFF,Not Available,BMT-13-NDH,Depot-13 BS - Nagadevanahalli Kengeri,BR2702,0,3,37,Depot-13 BS,Nagadevanahalli Kengeri,0
BMTC,#FFFFFF,Not Available,CR-8,Shivajinagar Bus Station - Bagmane Teck Park,BR3020,0,3,44,Shivajinagar Bus Station,Bagmane Teck Park,1
BMTC,#FFFFFF,Not Available,CR-6,City Civil Court - Kempegowda Bus Station,BR3016,0,3,41,City Civil Court,Kempegowda Bus Station,0
BMTC,#FFFFFF,Not Available,CR-4,Uttarahalli - Bagmane Teck Park,BR2992,0,3,31,Uttarahalli,Bagmane Teck Park,0
BMTC,#FFFFFF,Not Available,CR-2,Chennamma kere Achukattu - Avalahalli BDA Park,BR2898,0,3,46,Chennamma kere Achukattu,Avalahalli BDA Park,0
BMTC,#FFFFFF,Not Available,CS-32,Shivajinagar Bus Station - Marathahalli Bridge,BR3140,0,3,46,Shivajinagar Bus Station,Marathahalli Bridge,1
BMTC,#FFFFFF,Not Available,CS-31,Kempegowda Bus Station - Kengeri TTMC,BR3138,0,3,37,Kempegowda Bus Station,Kengeri TTMC,0
BMTC,#FFFFFF,Not Available,CS-30,Krishnarajendra Market - Rajarajeshwari Temple,BR3132,0,3,46,Krishnarajendra Market,Rajarajeshwari Temple,1
BMTC,#FFFFFF,Not Available,CS-29,Kempegowda Bus Station - Rajarajeshwari Temple,BR3127,0,3,46,Kempegowda Bus Station,Rajarajeshwari Temple,0
BMTC,#FFFFFF,Not Available,KRR-JFWTC,K R Road - JFWTC,BR3652,0,3,16,K R Road,JFWTC,0
BMTC,#FFFFFF,Not Available,CS-KMLBEML-BEL,Kamalanagara BEML Layout - BEL FACTORY,BR3187,0,3,38,Kamalanagara BEML Layout,BEL FACTORY,0
BMTC,#FFFFFF,Not Available,CS-28,Shivajinagar Bus Station - Krishnarajendra Market,BR3125,0,3,49,Shivajinagar Bus Station,Krishnarajendra Market,1
